"Issue Number,Title,Assignee,Sprint,Description"
"1,Get paid ads running,TBD,Sprint 1,""- Video ad"
- Picture ad
"- Can set price"""
"2,Build a dashboard that shows where new visitors drop off,Nate,Sprint 1,"
"3,Start user engagement/interviews,Jason,Sprint 1,"
"4,Write the website copy and positioning - integrity Canadian focus etc.,Launa,Sprint 1,""- Collaborate with Jay"""
"5,Define how MLS talks to teachers/gamification,Jason,Sprint 1,""- Explore """"let MLS do the work"""" mode"""
"6,Design the gamification — how MLS suggests and how teachers respond,Launa,Sprint 1,""- Explore """"let MLS do the work"""" mode"""
"7,Draft sample prompts as exploration (not production),TBD,Sprint 1,"
"8,Reach out to BC and Ontario faculties of education to acquire their required lesson templates,TBD,Sprint 1,"
"9,Build template upload — teachers can upload their own template file (PDF Word etc.),Nate,Sprint 1,""- Support PDF"
- Support Word
"- Tweak and test"""
"10,Design the textbook integration approach and start the build,Nate,Sprint 1,"
"11,Decide pricing and trial structure,Launa,Sprint 2,"
"12,Ads ongoing,TBD,Sprint 2,"
"13,Finalize the website copy,Launa,Sprint 2,"
"14,Apply the new look-and-feel language across MLS,Team,Sprint 2,"
"15,Continue acquiring lesson templates from BC and Ontario faculties,TBD,Sprint 2,"
"16,Continue draft sample prompts,TBD,Sprint 2,"
"17,Design the custom lesson templates feature,TBD,Sprint 2,""- How teachers build their own inside MLS"""
"18,Start designing the onboarding & big question teachers answer in let-MLS-do-the-work mode,Jason,Sprint 2,"
"19,Ship template upload,Nate,Sprint 2,"
"20,Ship textbook integration — teachers can pull content from a textbook into a unit,Nate,Sprint 2,"
"21,Build the custom lesson templates engine,Nate,Sprint 2,"
"22,Build the onboarding & behind-the-scenes part of let-MLS-do-the-work,Jason,Sprint 2,"
